2019-12-12 20:51:28.644132 - Python Partest Version 0.5
Setting up test: runsperthread=1 threads=50 totalruns=50 payload=[{'bucketname': 'df.service.one' 'key': '500000_Sales_Records.csv'}]

Raw results of each run:
1_run_id,2_thread_id,contextSwitchesDelta,cpuCores,cpuIdleDelta,cpuIowaitDelta,cpuIrqDelta,cpuKrnDelta,cpuModel,cpuNiceDelta,cpuSoftIrqDelta,cpuType,cpuUsrDelta,frameworkRuntime,latency,message,payload,roundTripTime,runtime,userRuntime,vmcpustealDelta
0,1,73541,2,421,0,0,90,62,0,21,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,323,0,4609.8,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9001.8,4392,4392,1
0,25,35058,2,387,0,0,13,62,0,13,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,329,0,5053.84,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},8853.84,3800,3800,1
0,4,79317,2,393,0,0,93,62,0,12,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,336,0,4813.67,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9126.67,4313,4313,0
0,0,73838,2,413,0,0,98,62,0,17,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,327,0,4879.62,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9263.62,4384,4384,2
0,2,84560,2,462,0,0,84,62,0,21,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,341,0,4628.07,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9287.07,4659,4659,2
0,7,59075,2,463,0,0,83,62,0,23,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,336,0,4722.07,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9354.07,4632,4632,2
0,34,65247,2,415,0,0,78,62,0,19,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,327,0,4879.1,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9194.1,4315,4315,1
0,3,84370,2,414,0,0,93,62,0,26,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,341,0,4944.27,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9423.27,4479,4479,0
0,41,63492,2,398,0,0,83,62,0,21,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,339,0,4899.39,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9176.39,4277,4277,1
0,39,82421,2,386,0,0,102,62,0,19,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,335,0,4914.5,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9195.5,4281,4280,0
0,8,65485,2,444,0,0,88,62,0,19,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,318,0,4983.35,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9456.35,4473,4472,1
